compound_id,food_id,name,description
20,2,Caftaric acid,Second major phenolic acid in stamnagathi decoctions (caffeoyl tartaric acid); strong free-radical scavenging activity; identified alongside cichoric acid as a primary antioxidant in Cretan C. spinosum; contributes to the vascular-protective polyphenol profile
21,2,8-Deacetylmatricarin-8-O-sulphate (Cretan sesquiterpene lactone),Sulfoconjugate sesquiterpene lactone isolated exclusively from Cretan Cichorium spinosum — not found in C. intybus or other chicory varieties; represents a chemotaxonomic marker unique to the Cretan species; class of sesquiterpene lactones (including lactupicrin) associated with anti-inflammatory and neuroprotective biological activity
22,7,Carvacrol,"Phenolic monoterpene comprising 52.2% of dittany essential oil; primary antimicrobial driver — disrupts bacterial cell membranes against S. aureus, E. coli, Listeria, and Salmonella; potent DPPH antioxidant (IC50 0.045% v/v); responsible for the characteristic warm, spicy aroma; also inhibits acetylcholinesterase and interacts with alpha-glucosidase active site (molecular docking)"
23,7,Rosmarinic acid,Major polyphenolic ester in dittany polar extracts; strong anti-inflammatory and antioxidant; inhibits COX enzymes and NF-kB pathways; dominant polar phenolic alongside the novel benzodioxane depside salvianolic acid P (first isolated from dittany)
24,7,Apigenin,Flavonoid isolated from dittany; inhibits acetylcholinesterase (AChE) in vitro — an enzyme whose excess activity is associated with Alzheimer's disease; anti-inflammatory and antioxidant
25,7,Novel luteolin/apigenin glycosides,Four novel flavone glycosides described for the first time in O. dictamnus infusion (Paloukopoulou 2026) including luteolin-7-O-[caffeoylglucuronyl]-glucuronopyranoside; structurally unique to dittany; contribute to the spasmolytic gut motility activity observed in ex vivo intestinal model
26,8,Galactomannans (locust bean gum),Soluble dietary fibre comprising ~75% of carob seed endosperm; viscous in solution — slows gastric emptying and cholesterol absorption; fermented by gut bacteria to produce short-chain fatty acids; responsible for the satiety and glycaemic-moderating effects of carob
27,8,D-pinitol,Unique cyclitol compound (3-O-methyl-D-chiro-inositol) abundant in carob pulp; acts as an insulin sensitiser — enhances glucose uptake into cells via insulin-independent pathways; one of the proposed mechanisms for carob's ability to reduce postprandial glucose response and support metabolic health
28,8,Condensed tannins (proanthocyanidins),"Polyphenolic compounds responsible for carob's cholesterol-lowering effects; bind bile acids in the gut, reducing their reabsorption and forcing the liver to convert more LDL cholesterol into bile acids — the same mechanism as cholestyramine; also antioxidant and anti-inflammatory"
29,8,Quercetin and myricetin,Flavonol polyphenols in carob pods and leaves; antioxidant and cardioprotective; contribute to carob's overall polyphenol content alongside gallic acid and ellagic acid
30,9,Punicalagins,Largest-molecular-weight ellagitannins found in pomegranate peel and juice; hydrolysed in the gut to ellagic acid then metabolised by gut bacteria to urolithins; responsible for pomegranate's exceptional antioxidant capacity — demonstrated to exceed both red wine and green tea by standardised ORAC assay; the key compounds driving anti-inflammatory and vascular effects observed in clinical trials
31,9,Anthocyanins (delphinidin, cyanidin, pelargonidin),Polyphenolic pigments concentrated in pomegranate arils and juice; produce the characteristic deep red colour; anti-inflammatory via NF-κB pathway suppression; inhibit ICAM-1 and IL-6 expression — matching the biomarkers improved in the 2025 meta-analysis of 19 clinical trials; also antioxidant and cardioprotective
32,9,Punicic acid (Omega-5 fatty acid),Unusual conjugated linolenic acid (18:3 cis-9 trans-11 cis-13) present in pomegranate seed oil; a structural isomer of conjugated linolenic acid; anti-inflammatory and anti-proliferative properties; acts via PPAR-gamma activation to modulate lipid metabolism
33,10,Cynarin (1,5-dicaffeoylquinic acid),The signature bitter phenolic of artichoke; directly stimulates bile secretion from the liver and gallbladder; bile acid export lowers hepatic cholesterol pools — the mechanism by which artichoke leaf extract reduces LDL in humans; responsible for the distinctive flavour and the post-artichoke sweet-water perception
34,10,Chlorogenic acid,Hydroxycinnamic acid polyphenol abundant in artichoke leaves and bracts; antioxidant and anti-inflammatory; inhibits glucose-6-phosphatase in the liver — reduces hepatic glucose output; also found in high concentrations in green coffee
35,10,Inulin (fructooligosaccharides),Prebiotic soluble fibre comprising the storage carbohydrate of artichoke; selectively feeds Bifidobacterium and Lactobacillus species; fermented to butyrate and SCFAs in the colon; improves bowel transit and supports the gut epithelial barrier
36,11,Oleuropein,The dominant bitter secoiridoid glycoside in olive leaves; present at 60-90 mg/g dry leaf weight — 10-20x higher than in olive oil; ACE-inhibitory activity lowers blood pressure; antioxidant; hydrolysed in the body to hydroxytyrosol and elenolic acid; the primary compound responsible for antihypertensive effects demonstrated in human crossover RCTs
37,11,Hydroxytyrosol,One of the most potent plant-derived antioxidants known; anti-inflammatory via NF-κB and COX-2 suppression; found in olive leaves at higher concentrations than in EVOO; metabolite of oleuropein; contributes to lipid-lowering and anti-inflammatory effects of olive leaf extract observed in clinical trials
38,12,Beta-glucan (barley),"Viscous soluble dietary fibre comprising 3-11% of whole-grain barley by weight; forms a thick gel in the small intestine that traps bile acids, preventing their reabsorption and forcing the liver to convert LDL cholesterol into replacement bile acids; this mechanism earned an FDA-approved cardiovascular health claim; a 50g serving of Cretan paximadi provides approximately 2-3g beta-glucan"
39,12,Arabinoxylan,"Insoluble prebiotic fibre comprising the cell walls of barley bran; fermented by colonic bacteria to produce butyrate, propionate, and acetate; butyrate is the preferred energy substrate of colonocytes; supports colon health, reduces intestinal inflammation, and improves insulin sensitivity via SCFA signalling"
46,15,Hydroxytyrosol (free form),"The primary phenolic antioxidant in table olives present at 8-fold higher concentration per gram than in extra virgin olive oil; the fermentation and curing process hydrolyses oleuropein glucoside into free hydroxytyrosol; demonstrated to be bioavailable in humans — plasma levels peak within 30 minutes of olive consumption; inhibits LDL oxidation, platelet aggregation, and endothelial inflammation via NF-κB; the same compound responsible for the cardiovascular benefits documented in the PREDIMED trial"
47,15,Oleuropein glucoside and its aglycone,The intact precursor compound of hydroxytyrosol present in fresh uncured olives; provides characteristic extreme bitterness of raw olives before curing; the curing process hydrolyses the glucoside bond and further breaks down oleuropein aglycone to release free hydroxytyrosol and elenolic acid; different curing methods (brine vs dry salt vs lye) produce different polyphenol profiles; naturally cured Greek-style olives retain higher total polyphenol content than commercially processed varieties
48,15,Tyrosol,Secondary olive phenolic co-occurring with hydroxytyrosol throughout the Olea europaea plant; weaker antioxidant than HT but present at significant quantities in both olive oil and table olives; both HT and tyrosol are consistently detectable in human plasma after olive consumption in pharmacokinetic studies; anti-inflammatory and antiplatelet activity in vitro; contributes additively to the overall phenolic protection of the olive polyphenol matrix
49,16,Lactobacillus acidophilus and L. bulgaricus (live cultures),"The active therapeutic agents in traditionally fermented yoghurt; L. acidophilus produces bile salt hydrolase (BSH) — the enzyme that deconjugates bile acids in the gut, forcing the liver to synthesise replacement bile acids from circulating LDL cholesterol, directly lowering LDL; L. bulgaricus produces lactic acid and bacteriocins; both strains survive gastric transit in yoghurt matrix better than in capsule form; the live probiotic count at consumption is the primary determinant of cholesterol-lowering efficacy"
50,16,Casein-derived ACE-inhibitory peptides (Val-Pro-Pro; Ile-Pro-Pro),"Bioactive tripeptides released during fermentation of sheep and goat casein by lactic acid bacteria; competitively inhibit angiotensin-converting enzyme (ACE) — the same enzyme targeted by prescription ACE-inhibitor antihypertensive drugs (ramipril, lisinopril); blood pressure reduction from fermented dairy consumption in human trials is partially attributed to these peptides; sheep and goat milk casein yields higher ACE-inhibitory peptide concentrations than cow casein due to different protein composition"
51,17,Carvacrol,"The dominant phenolic monoterpenoid in Satureja thymbra essential oil (40-70% of oil); identical compound to the primary bioactive in Origanum and other Cretan medicinal herbs; the active agent responsible for the metabolic effects seen in the Satureja khuzestanica RCT (FBS reduction, HbA1c improvement, lipid normalisation); inhibits cyclooxygenase (COX-1 and COX-2) reducing prostaglandin synthesis; strong antimicrobial membrane disruptor active against MRSA and enteric pathogens"
52,17,Rosmarinic acid,"Polyphenol ester abundant in all Lamiaceae family herbs including savory, oregano, dittany, rosemary, and basil; potent antioxidant with ORAC value exceeding vitamin C; inhibits complement system C3 convertase activation and 5-lipoxygenase, reducing both inflammatory cascade activation and leukotriene synthesis; well-studied in in vitro models; European Medicines Agency has accepted rosmarinic acid content as a quality marker for medicinal Lamiaceae herbs"
53,17,Thymol,Phenolic monoterpenoid co-occurring with carvacrol; same compound dominant in thyme; antimicrobial membrane disruptor particularly effective against biofilm-forming bacteria; exhibits HMG-CoA reductase inhibitory activity in mechanistic studies (same molecular target as statin drugs); the combination of carvacrol and thymol shows synergistic antimicrobial activity greater than either compound alone — the natural ratio in Satureja essential oil is likely more effective than isolated compounds
59,20,Carvacrol,"The dominant phenolic monoterpenoid in Origanum vulgare essential oil, comprising 60-80% of Cretan wild oregano oil; Greek wild oregano contains among the highest carvacrol concentrations documented globally — Cretan rigani is prized partly for this potency; identical bioactive compound found in Cretan dittany and savory; inhibits COX-1, COX-2, NF-κB, and LPS-induced cytokine release; potent broad-spectrum antimicrobial disrupting bacterial cell membrane integrity; EFSA has noted carvacrol as a flavouring with documented biological activity"
60,20,Rosmarinic acid,"Polyphenol ester at 10-20 mg/g dry weight in Origanum vulgare — higher than in rosemary despite the name; potent antioxidant (3x more potent than vitamin C by DPPH assay); inhibits complement C3 convertase activation and 5-lipoxygenase, reducing both complement-mediated and leukotriene-mediated inflammation; European Medicines Agency uses rosmarinic acid content as a quality marker for medicinal Lamiaceae preparations; anti-inflammatory mechanism relevant to atherosclerosis, arthritis, and neuroinflammation"
63,22,Trans-anethole,The primary volatile compound in fennel essential oil (60-80%); responsible for the characteristic anise flavour; primary spasmolytic agent — relaxes gastrointestinal smooth muscle by inhibiting calcium-mediated and serotonin-mediated contractions; demonstrated carminative (gas-relieving) activity by reducing intestinal motility and intraluminal pressure; mild estrogenic activity at high doses (relevant to traditional use for menstrual regulation); anti-inflammatory activity via NF-κB suppression; the spasmolytic mechanism explains why both traditional fennel seed tea and the clinical RCT results converge on gut comfort benefits
64,22,Fenchone and fenchyl alcohol,"Secondary monoterpenoids contributing 10-20% of fennel essential oil; fenchone has documented expectorant, antimicrobial, and antifungal properties; FAAH (fatty acid amide hydrolase) inhibitory activity — FAAH degrades endocannabinoids, so its inhibition extends endocannabinoid signalling, which contributes to GI motility regulation and pain reduction; fenchyl alcohol demonstrates additional spasmolytic activity synergistic with trans-anethole; the combination of trans-anethole and fenchone in whole fennel oil is more effective than isolated anethole, consistent with whole-herb traditional use"
66,23,Masticadienonic acid,Pentacyclic triterpenic acid characteristic of Pistacia lentiscus var. chia (Chios mastic); one of the dominant bioactive triterpenoids in mastic gum responsible for the documented effects on gastrointestinal motility and mucosal protection; mechanism: inhibits gastric H+/K+-ATPase activity and modulates intestinal smooth muscle contractility; serves as a chemotaxonomic marker for authentic Chios-variant mastic
67,23,Isomasticadienonic acid,Isomer of masticadienonic acid co-occurring in Pistacia lentiscus resin; contributes to the overall triterpenoid profile responsible for mastics prokinetic and anti-Helicobacter pylori activity demonstrated in clinical trials; the combination of masticadienonic acid and isomasticadienonic acid distinguishes Chios mastic from other Pistacia lentiscus varieties
68,23,Alpha-pinene,"Bicyclic monoterpene comprising 50-80% of mastic essential oil — responsible for the characteristic pine-resinous aroma; potent antimicrobial against oral pathogens (S. mutans, P. gingivalis) and gastric pathogens (H. pylori) at concentrations achieved through mastic consumption; partly volatilises during cooking but is retained in chewed mastic gum and in distilled mastichi liqueur"
69,23,Beta-myrcene and other monoterpenes,"Volatile monoterpene fraction of mastic essential oil (10-20%); contributes additional antimicrobial activity and may modulate gastrointestinal motility through TRP channel interactions; the whole essential oil matrix appears to be more effective than isolated alpha-pinene alone, suggesting synergistic activity consistent with traditional whole-resin consumption rather than isolated compound supplementation"
70,24,Rutin (quercetin-3-O-rutinoside),"Quercetin glycoside present in caper fruit and buds at among the highest concentrations documented in any vegetable food (170-330 mg/100g in fresh capers); rutin is hydrolysed by gut bacteria to quercetin, which inhibits alpha-glucosidase (lowering post-prandial glucose), aldose reductase (reducing diabetic complications), and ACE (lowering blood pressure); rutin specifically also has direct antithrombotic activity and microvascular protective effects"
71,24,Quercetin,"Aglycone flavonol released from caper rutin by intestinal hydrolysis; one of the most extensively studied dietary polyphenols globally; in capers, quercetin occurs both as the glycoside (rutin) and in free form; inhibits ACE (blood pressure reduction), HMG-CoA reductase (cholesterol lowering), and platelet thromboxane synthesis; quercetin from capers complements the quercetin already provided by Cretan onions and contributes to the overall flavonol load of traditional Cretan cuisine"
72,24,Kaempferol and stachydrine,Kaempferol is the second major flavonol in caper (~50-100 mg/100g) with anti-inflammatory and antiplatelet activity; stachydrine is a quaternary ammonium alkaloid unique to capers and a few other Capparidaceae plants that contributes to the bitter-pungent flavour and shows modest anti-inflammatory and cardioprotective activity in animal models; the multi-compound profile of capers makes them one of the more flavonoid-dense vegetables in the Mediterranean diet
73,25,Alpha-linolenic acid (ALA),"Plant omega-3 fatty acid (18:3 n-3) comprising 9-14% of walnut fat — the highest concentration among commonly consumed nuts; the body converts a fraction of ALA to EPA and DHA, providing cardiovascular benefits without consuming fish; ALA itself reduces LDL oxidation, modulates inflammatory cytokine production, and improves endothelial function as measured by flow-mediated dilation; walnut ALA is the primary mechanism behind the documented FMD improvement in pre-diabetic and metabolic syndrome populations"
74,25,Gamma-tocopherol,Less famous than alpha-tocopherol but more abundant in walnuts; gamma-tocopherol specifically traps reactive nitrogen species (peroxynitrite) that alpha-tocopherol cannot — a complementary antioxidant activity; walnut contains 5-10x more gamma-tocopherol than most other nuts; serum gamma-tocopherol levels are inversely associated with cardiovascular risk in prospective cohort data; the walnut tocopherol mix is one of the few dietary sources delivering meaningful gamma-tocopherol
75,25,Ellagic acid and ellagitannins,Polyphenols abundant in walnut pellicle (the brown skin); metabolised by gut bacteria to urolithins — the same secondary metabolites produced from pomegranate punicalagins; urolithin A has been shown to activate mitophagy (the cellular recycling of dysfunctional mitochondria) and is associated with improved muscle function in older adults; walnut and pomegranate provide overlapping urolithin precursor pools in the traditional Cretan diet
76,25,Walnut melatonin,"Walnuts contain dietary melatonin at 3-4 ng/g — among the higher concentrations in nuts; consuming walnuts has been documented to raise serum melatonin in human pharmacokinetic studies; when combined with the omega-3 content, walnuts deliver both a circadian signal and the neuro-supportive fatty acid substrate; complements the dietary melatonin available from Cretan tomatoes and purslane"
77,26,Alpha-tocopherol (vitamin E),"Almonds contain 25-30 mg alpha-tocopherol per 100g — the richest plant source among commonly consumed foods; a 28g portion (one ounce) provides ~7 mg, nearly half the adult RDA; alpha-tocopherol inhibits LDL oxidation, a critical step in atherosclerosis; the skin (brown outer layer) of almonds also contains polyphenols (catechins, epicatechin) that act synergistically with vitamin E to extend the lag phase of LDL oxidation"
78,26,Oleic acid (MUFA),Almond fat is dominated by oleic acid — the same monounsaturated fatty acid that makes olive oil cardiovascular-protective; substituting dietary saturated fat with almond MUFA lowers LDL cholesterol without reducing protective HDL; this is the primary mechanism behind the consistent ~5-10 mg/dL LDL reductions documented across multiple almond meta-analyses; the oleic acid in almonds complements rather than duplicates the oleic acid from olive oil — almonds deliver this MUFA in a fibre + protein matrix that increases satiety
79,26,Magnesium and prebiotic fibre,"Almonds provide 270 mg magnesium per 100g — among the highest dietary sources; magnesium is a cofactor for over 300 enzymatic reactions including those regulating blood pressure and insulin signalling; almond fibre (~12g per 100g, mostly insoluble) is fermented by colonic bacteria to short-chain fatty acids and acts as a prebiotic, modulating gut microbiota composition in human trials; the magnesium + fibre + MUFA combination explains the body weight (−1.39 kg) and blood pressure improvements observed in the Lee-Bravatti 2019 meta-analysis"
80,27,Carnosic acid and carnosol,"Carnosic acid is the dominant diterpene phenolic in Salvia fruticosa and the related Mediterranean sages; oxidises to carnosol in plant tissue and during storage; both compounds are potent antioxidants and crystallographically documented to inhibit acetylcholinesterase (AChE) — the molecular target of prescription Alzheimers drugs (donepezil, rivastigmine); rosemary and sage are the richest dietary sources of carnosic acid; the same mechanism (AChE inhibition) explains the cognitive enhancement documented in the Wightman 2021 RCT and the Miroddi 2014 systematic review"
81,27,1,8-Cineole (eucalyptol),"Volatile monoterpenoid comprising 30-60% of Greek sage (Salvia fruticosa) essential oil — the chemotype that distinguishes Cretan faskomilo from Northern European Salvia officinalis (which is dominated by alpha-thujone); 1,8-cineole crosses the blood-brain barrier rapidly and inhibits both AChE and BuChE in vitro; serum 1,8-cineole concentrations correlate with cognitive performance in human pharmacokinetic studies of inhaled and oral eucalyptol exposure"
82,27,Rosmarinic acid,"Polyphenol ester present at high concentrations in all Mediterranean Lamiaceae herbs — sage, oregano, savory, dittany, rosemary, lemon balm; ORAC antioxidant value exceeding vitamin C; inhibits complement C3 convertase and 5-lipoxygenase, reducing both complement-mediated and leukotriene-mediated inflammation; in faskomilo specifically, rosmarinic acid contributes both to the cognitive support (via brain antioxidant protection) and to the traditional Cretan reputation of sage tea for cleansing the body"
87,29,Terpenoids (gamma-terpinene & limonene),"Dominant volatile compounds in kritamo essential oil; gamma-terpinene and limonene show in vitro antibacterial, antifungal, anti-inflammatory, and 5-lipoxygenase inhibitory activity; responsible for the herb's characteristic aroma."
88,29,Chlorogenic acid & flavonoids (rutin & hyperoside),Hydroxycinnamic acid and flavonoid glycosides characterised by LC-DAD-HRMS in kritamo sprouts; chlorogenic acid is the dominant phenolic; rutin and hyperoside provide antioxidant and potential anti-inflammatory activity via free-radical scavenging.
89,29,Omega-3 & omega-6 polyunsaturated fatty acids,Kritamo leaves are a source of linoleic acid (omega-6) and alpha-linolenic acid (omega-3) from a coastal wild plant; fatty acid profile supports anti-inflammatory potential and complements the broader Mediterranean omega-3 context.
92,31,Anthocyanins (cyanidin-3-rutinoside),Primary pigment in dark-skinned Cretan figs; potent free-radical scavenger and NF-κB inhibitor; in vitro studies show anti-inflammatory and anti-cancer properties; cyanidin-3-rutinoside is the dominant anthocyanin in Ficus carica skin.
93,31,Rutin & chlorogenic acid,Rutin (quercetin-3-rutinoside) and chlorogenic acid are the dominant phenolic compounds in fig flesh; both are well-characterised antioxidants with in vitro alpha-glucosidase inhibition (anti-diabetic mechanism) and cholinesterase inhibition (neuroprotective mechanism).
94,31,Dietary fibre (soluble & insoluble),"Fresh and dried figs are among the highest-fibre fruits; soluble fibre (pectin) slows glucose absorption and lowers LDL; insoluble fibre supports gut motility; drying concentrates the fibre content, making dried Cretan syka a practical fibre delivery vehicle."
95,32,Omega-3 & omega-6 polyunsaturated fatty acids (balanced ratio),Snail flesh contains a favourable omega-3 to omega-6 ratio with predominantly unsaturated fatty acids; the PUFA profile is comparable in structure to that of oily fish; supports anti-inflammatory and cardiovascular-protective mechanisms.
96,32,Complete protein (all essential amino acids),Helix aspersa flesh provides all essential amino acids at nutritionally meaningful concentrations; high biological value protein comparable to conventional animal protein sources; particularly notable given the very low calorie density (~77 kcal per 100g).
97,32,Antioxidant biomolecules (flesh extracts),Extracts of H. aspersa flesh contain a large quantity of antioxidant biomolecules with significant free-radical scavenging activity; specific compounds include phenolics and other small molecules as yet uncharacterised; activity confirmed by DPPH assay.
98,33,"Quercetin glycosides (rutin, isoquercitrin)","The dominant flavonoid family in red vine leaves; strengthen capillary walls, reduce vascular permeability, and inhibit leukocyte adhesion to vein endothelium — the mechanism behind documented reductions in leg edema in chronic venous insufficiency trials."
99,33,Resveratrol,"Stilbene polyphenol present in vine leaves; activates SIRT1 and AMPK pathways linked to mitochondrial biogenesis, vascular endothelial protection, and cellular longevity."
100,33,Kaempferol,Flavonoid present alongside quercetin in vine leaves; well-documented anti-inflammatory and antioxidant activity via inhibition of NF-κB signalling and direct ROS scavenging.
101,33,Caffeic acid,Hydroxycinnamic acid abundant in vine leaves; potent free radical scavenger and inhibitor of LDL oxidation; one of the most studied dietary polyphenols for cardiovascular protection.
102,34,Thymol,"Phenolic monoterpene; 10-64% of thyme essential oil; documented antimicrobial, expectorant, antioxidant, and anti-inflammatory activity across in vitro, animal, and clinical studies; the long-standing active in traditional thyme cough syrups."
103,34,Carvacrol,Phenolic monoterpene isomer of thymol; particularly concentrated in Greek thyme (Coridothymus capitatus); shares with thymol broad antimicrobial activity and modulation of TRPV3 ion channels involved in inflammation and pain signalling.
104,34,p-Cymene,Aromatic monoterpene present alongside thymol and carvacrol in thyme essential oil; acts synergistically with thymol to enhance antimicrobial activity and cell-membrane penetration.
105,34,Rosmarinic acid,"Polyphenol present in thyme leaves; potent antioxidant and anti-inflammatory compound shared with other Lamiaceae herbs including oregano, sage, and dittany."
106,35,Sodium chloride,"The dominant constituent of sea salt (~95-98% by weight); essential dietary mineral, but excessive intake is one of the most consistently documented dietary risk factors for hypertension, stroke, and cardiovascular mortality."
107,35,Magnesium chloride / sulfate,Naturally present in unrefined sea salt at trace concentrations (~0.5-1%); contributes to the slightly bitter mineral edge of unrefined salts; dietary magnesium itself is beneficial but the amount delivered via salt is small.
108,35,"Trace minerals (calcium, potassium)",Present in unrefined sea salt at very low concentrations (<1% combined); contribute to mineral content but in amounts too small to be nutritionally meaningful at typical culinary use.
109,36,Whey bioactive peptides,Short protein fragments released during digestion of whey cheese; include ACE-inhibitory and immune-modulating sequences; documented across cheese category evidence (Zhang 2023 umbrella review; Zhuang 2025 cohort analysis).
110,36,Conjugated linoleic acid (CLA),Natural trans-fatty acid concentrated in pasture-fed sheep and goat dairy; anti-inflammatory and potentially antiatherogenic; higher in traditional Cretan whey cheese than in commercial cow-milk dairy.
111,36,"Whey protein (alpha-lactalbumin, beta-lactoglobulin)",Complete protein with all essential amino acids and high branched-chain amino acid (BCAA) content; supports lean muscle mass and satiety; rapidly digested.
112,37,Whey bioactive peptides,Released from whey proteins during digestion; share ACE-inhibitory and immune-modulating activity documented in cheese-category cohort studies.
113,37,Calcium and short-chain fatty acids,Dense in dietary calcium per gram and contains short-chain fatty acids from sheep and goat butterfat; supports bone density and gut epithelial energy supply.

114,38,Conjugated Linoleic Acid (CLA),A naturally occurring fatty acid found in sheep and goat milk fat; associated in preclinical studies with reduced adiposity and anti-inflammatory signalling.
115,38,Lactic Acid Bacteria (LAB),"Lactiplantibacillus plantarum and Lacticaseibacillus paracasei strains characterised in Greek feta-type cheese; assessed for cholesterol assimilation, alpha-glucosidase inhibition, and gut epithelial adhesion in vitro."
116,38,Calcium & Whey Peptides,Feta is a significant source of bioavailable calcium; its whey fraction contains short peptides with documented ACE-inhibitory potential linked to blood pressure modulation.
117,39,EPA (Eicosapentaenoic Acid),"A long-chain omega-3 fatty acid abundantly supplied by sardines and anchovies; reduces triglycerides, inhibits platelet aggregation, and suppresses inflammatory eicosanoid production."
118,39,DHA (Docosahexaenoic Acid),Essential for brain structure and retinal function; found in high concentrations in small oily fish; cardiovascular-protective through multiple lipid-lowering and anti-inflammatory mechanisms.
119,39,Coenzyme Q10 & Selenium,"Sardines are among the richest dietary sources of CoQ10 (mitochondrial antioxidant) and bioavailable selenium, both supporting cardiovascular function and longevity outcomes."
120,40,Taurine,"A sulphur-containing amino acid found in especially high concentrations in octopus and cephalopods; supports cardiovascular function, bile acid conjugation, and antioxidant defence."
121,40,Selenium & Zinc,Octopus is a rich source of both trace minerals — selenium supports thyroid function and glutathione peroxidase antioxidant activity; zinc supports immune function and wound healing.
122,40,Lean Protein,"Octopus provides approximately 15g protein per 100g cooked weight with very low fat content (~1g), making it one of the highest protein-to-calorie-ratio seafoods available."
123,41,Omega-3 Fatty Acids (EPA & DHA),"Both Sparus aurata and Dicentrarchus labrax deliver significant long-chain omega-3 fatty acids supporting cardiovascular, cognitive, and visual health under EU-authorised health claims."
124,41,Selenium & Phosphorus,High selenium content supports antioxidant enzyme systems; phosphorus is essential for bone mineralisation and ATP-based cellular energy metabolism.
125,41,Complete Protein,Sea bream and sea bass provide high biological value protein containing all essential amino acids; their amino acid profile meets EU criteria for authorised protein nutrition claims.
126,42,Safranal,The primary volatile compound responsible for saffron's aroma; exerts anxiolytic and antidepressant effects via serotonin reuptake inhibition and GABA-A receptor modulation.
127,42,Crocin & Crocetin,"Carotenoid glycosides responsible for saffron's deep colour; studied for neuroprotective, antidepressant, and cognitive-enhancing effects across multiple human RCTs."
128,42,Kaempferol,A flavonoid in saffron petals with anti-inflammatory and antioxidant properties; contributes to the compound's overall neuroprotective profile.
129,43,Polyphenols & Flavonoids,Pine honey has a distinct phenolic profile from floral honeys; total phenolic content ~451 mg GAE/kg; FRAP antioxidant values higher than most European monofloral honeys.
130,43,Hydrogen Peroxide & Defensin-1,Key antibacterial agents in pine honey; activity against nosocomial and foodborne pathogens — in Greek studies comparable or superior to Manuka honey for some strains.
131,43,Oligosaccharides & Minerals,"Honeydew honeys are rich in oligosaccharides with prebiotic potential, and have higher mineral content (potassium, calcium, magnesium) than nectar honeys."
132,44,Resistant Starch & Soluble Fibre,"Black-eyed peas have a low glycemic index; their resistant starch and soluble fibre slow glucose absorption, blunt postprandial insulin response, and promote satiety."
