food_id,goal_id,evidence_strength,subcategory,notes
16,3,2,microbiome,"Live L. acidophilus and L. bulgaricus cultures in traditional yoghurt documented to colonise the gut in human studies; casein matrix protects bacterial viability during gastric transit better than capsule delivery; gut microbiome modulation confirmed by 16S rRNA sequencing in multiple human dietary trials; prebiotic casein peptides and lactose support probiotic colonisation; Cretan sheep/goat yoghurt has higher protein and fat content which further supports probiotic survival"
17,5,2,fasting_glucose,"DB-RCT (Roosta 2024, n=78 T2DM): Satureja khuzestanica (related species) 500mg/day 12 weeks: FBS −12.6 mg/dL (p=0.007); HbA1c −0.28% (p<0.001); insulin −1.65 mIU/L (p=0.03); HOMA-IR improved; carvacrol mechanism: AMPK activation and PI3K/Akt pathway modulation improving insulin sensitivity; S. thymbra and S. khuzestanica share carvacrol and thymol as dominant compounds; evidence extrapolated from closely related species per transparent labelling"
17,2,2,cholesterol,"DB-RCT (Roosta 2024, n=78 T2DM): TC −14.6 mg/dL (p<0.001); LDL −4.6 mg/dL (p<0.001); HDL +3.9 mg/dL (p=0.005); mechanism: carvacrol inhibits HMG-CoA reductase and exhibits antioxidant protection of LDL; evidence from related Iranian species S. khuzestanica — extrapolated to Cretan S. thymbra via shared dominant bioactive compounds; no direct RCT exists for S. thymbra; classification Medium acknowledges both the RCT quality and the species extrapolation"
17,1,1,antioxidant,"In vitro and mechanistic data: carvacrol inhibits COX-1 and COX-2, NF-κB activation, and LPS-induced TNF-α and IL-6 production; rosmarinic acid inhibits complement activation and 5-lipoxygenase; the anti-inflammatory evidence is strong mechanistically but derived from cell culture and animal studies; no human inflammatory biomarker trial for S. thymbra specifically; the Roosta RCT used glycaemic/lipid outcomes, not inflammatory markers"
18,2,3,blood_pressure;cholesterol,"Three independent meta-analyses confirm cardiovascular benefit: Cheng 2017 (21 trials): LDL −0.22 mmol/L (p=0.006), FMD +2.53% (p=0.01); Ried 2010 (meta-analysis): lycopene ≥25mg/day: LDL −10.35 mg/dL (p=0.0003), SBP −5.60 mmHg (p=0.04); Rattanavipanon 2021 (network meta-analysis): standardised tomato extract SBP −5.89 mmHg (p<0.001); converging evidence from independent meta-analyses across different preparation types warrants evidence_strength=3"
18,1,2,antioxidant,"Meta-analysis (Cheng 2017, 21 trials): IL-6 SMD −0.25 (p=0.03); mechanism via lycopene inhibition of LDL oxidation and chlorogenic acid NF-κB suppression; prospective cohort data consistently shows inverse associations between tomato consumption and CRP; multiple independent meta-analyses confirm IL-6 reduction; evidence_strength=2 reflecting single inflammatory outcome (IL-6) from meta-analysis without comprehensive inflammatory biomarker panel"
19,2,2,blood_pressure,"DB crossover RCT (Brull 2015, n=70 overweight/obese pre/hypertensive): 162mg/day quercetin from onion skin extract; hypertensive subgroup: SBP −3.6 mmHg (p=0.022); 24-h ambulatory blood pressure measured (gold standard); mechanism: ACE inhibition by quercetin and its metabolites; quercetin in onion occurs as glucoside with high bioavailability; evidence_strength=2 reflecting single well-designed RCT with subgroup-specific effect"
19,1,1,antioxidant,"Quercetin inhibits NF-κB and AP-1 transcription factor activation in vitro; significant CRP and cytokine reductions in cell culture models; the Brull 2015 RCT found no significant changes in CRP, TNF-α, IL-6, or ICAM-1 despite the blood pressure effect — anti-inflammatory evidence is mechanistic/in vitro only; onion organosulfur compounds show antimicrobial and antiplatelet activity via thromboxane inhibition in vitro"
20,1,1,antioxidant,"In vitro evidence: carvacrol inhibits COX-1 and COX-2 and NF-κB-mediated cytokine release; rosmarinic acid (10-20 mg/g dry weight in Cretan rigani) inhibits complement C3 convertase and 5-lipoxygenase; DPPH radical scavenging IC50 <0.05% for oregano essential oil; potent antimicrobial activity against S. aureus, E. coli, Candida (MIC data); anti-inflammatory and immune-modulating activity is well-characterised mechanistically but clinical human trials for oral oregano on inflammatory biomarkers are lacking"
20,3,1,microbiome,"Oregano essential oil and carvacrol reduce E. coli and Salmonella counts in animal gut models; L. plantarum abundance increased with oregano supplementation in broiler models; carminative and digestive properties documented via carvacrol spasmolytic activity on smooth muscle; no controlled human trials on gut health endpoints for dietary oregano consumption; evidence is mechanistic and animal model based"
21,5,2,fasting_glucose;postprandial,"Meta-analysis of 9 ACV RCTs (Hadi 2021, n varied): FPG −7.97 mg/dL (95% CI −13.74 to −2.21); HbA1c −0.50 (95% CI −0.90 to −0.09); >8-week subgroup showed significant FPG reduction; acetic acid AMPK activation mechanism is the same regardless of vinegar source (ACV, wine vinegar, rice vinegar); evidence extrapolated from ACV trials to Cretan wine vinegar via the shared acetic acid mechanism; evidence_strength=2 reflecting the meta-analysis quality offset by the ACV-to-wine-vinegar extrapolation"
21,2,2,cholesterol,"Meta-analysis of 9 ACV RCTs (Hadi 2021): TC −6.06 mg/dL (95% CI −10.95 to −1.17; I²=39%); T2DM subgroup: TC and TG significantly reduced; mechanism via AMPK-mediated HMG-CoA reductase inhibition (same target as statin drugs); acetic acid mechanism is shared across all vinegar types; Cretan wine vinegar additionally contains grape polyphenols (resveratrol, quercetin) that contribute ACE-inhibitory and antioxidant effects beyond the ACV evidence base"
22,3,2,motility;digestion,"DB-RCT (Azimi 2022, n=50 elderly constipation): fennel+rose formula significantly outperformed PEG 4000 on constipation severity (p<0.001), stool consistency (p<0.001), and quality of life (p<0.001) with longer symptom relief and fewer side effects; fennel is primary herb; trans-anethole spasmolytic mechanism on gastrointestinal smooth muscle is well-characterised; evidence_strength=2 acknowledging the active-comparator RCT design offset by the multi-herb formulation limitation"
20,2,1,cholesterol,"Human RCT (Maral et al. 2021, n=34 athletes, 14 days): O. v. subsp. hirtum EO (82.1% carvacrol — the Greek/Cretan oregano subspecies) significantly raised HDL-C vs control (p=0.024); evidence_strength=Low due to small n per group (~8–9), athlete population, EO supplementation route not dietary, and short 14-day duration; carvacrol PPAR-α lipid-modulating mechanism is well-characterised"
6,7,3,fasting_glucose,"Meta-analysis of T2DM RCTs (Guo 2024): FBG −15.01 mg/dL; ALA mechanism supports glucose and lipid metabolism; one of the most evidence-rich blood sugar findings in the KB for any single food"
13,7,3,fasting_glucose;insulin_sensitivity,"Mega meta-analysis of 108 RCTs (Behrouz 2026, n=7137): FBG −2.77 mg/dL (95% CI −5.25 to −0.28); insulin −1.74 mU/L; HOMA-IR −0.37 (95% CI −0.59 to −0.15); allicin-mediated PI3K/Akt insulin sensitivity improvement confirmed across multiple preparation types"
21,7,2,fasting_glucose;postprandial,"Meta-analysis of 9 ACV RCTs (Hadi 2021): FPG −7.97 mg/dL (95% CI −13.74 to −2.21); HbA1c −0.50 (95% CI −0.90 to −0.09); >8-week duration subgroup showed significant FPG reduction; mechanism via acetic acid AMPK activation suppressing hepatic glucose output; extrapolated from ACV trials to Cretan wine vinegar via shared acetic acid mechanism"
17,7,2,fasting_glucose;insulin_sensitivity,"DB-RCT (Roosta 2024, n=78 T2DM, 12 weeks): Satureja khuzestanica (related species): FBS −12.6 mg/dL (p=0.007); HbA1c −0.28% (p<0.001); insulin −1.65 mIU/L (p=0.03); HOMA-IR improved; carvacrol AMPK/PI3K/Akt mechanism; extrapolated to Cretan S. thymbra via shared dominant bioactives (carvacrol, thymol)"
8,7,2,postprandial;insulin_sensitivity,"RCT (Planes-Munoz 2025, n=72): commercial carob syrup produced low GI (56–60) and attenuated postprandial glucose response by 16% vs glucose load; 6-week intervention: waist circumference −3.58 cm (p<0.05); D-pinitol proposed as key insulin-sensitising mechanism; hypercholesterolaemic or healthy adult populations"
10,7,2,liver,"DB-RCT (Panahi 2018, n=90 NAFLD, 2 months): ALT −p<0.001; AST −p<0.001; AST/ALT ratio and APRI score improved (p<0.01); hepatic vein flow improved; liver size reduced — NAFLD is a primary driver of insulin resistance and impaired hepatic glucose regulation; cynarin-mediated bile acid pathway reduces hepatic lipid accumulation; note: liver function endpoints, not direct blood glucose measurement"
7,7,1,postprandial,"In vitro (Amato 2025): dittany EO inhibited alpha-glucosidase (intestinal enzyme controlling post-prandial glucose release) with mixed-inhibition kinetics — consistent with a blood glucose-lowering mechanism; not yet validated in vivo or in humans"
4,8,1,onset,"In vitro GABA-A screen (Sahin 2016): Sideritis sipylea (related species) potentiated GABA-A current 172 ± 19% — matching hops, the premier sleep herb; human RCT (Wightman 2018, n=155): state anxiety significantly reduced vs placebo and Ginkgo (p<0.001) — mechanistically adjacent to sleep onset improvement; evidence_strength=Low (no direct human sleep outcome measured); traditional Cretan evening use as a calming herb is consistent with the GABA-A mechanism"
6,8,1,quality;circadian,"Phytochemical analysis (Simopoulos 2005, J Pineal Res): purslane leaves contain 19 ng/g WW melatonin by GC/MS — highest among commonly consumed vegetables, 13x higher than ginger and 63x higher than tomato; dietary melatonin from food sources (milk, sour cherries) improves sleep quality in human RCTs (Pereira 2019 systematic review, PMC5409706); no human sleep RCT exists for purslane specifically; evidence_strength=Low (composition data + mechanistic bridge from dietary melatonin → sleep literature)"
18,8,2,onset;quality;circadian,"Yang 2019 open-label RCT (n=36 obese postmenopausal women, 8 weeks): 250 g beefsteak tomato consumed 2 h before bed improved Pittsburgh Sleep Quality Index across all components (p trend = 0.0297) and raised urinary 6-sulphatoxymelatonin (aMT6s) approximately 10-fold versus control; mechanism via dietary melatonin (N-acetyl-5-methoxytryptamine) synthesised in tomato via the same tryptophan → serotonin → melatonin pathway used by the human pineal gland; evidence_strength=2 — small open-label RCT in a specific population, but with a clear sleep outcome (PSQI) and a measurable mechanistic biomarker (aMT6s); upgrade to strength=3 would require a double-blind placebo-controlled trial in a broader population"
23,3,2,microbiome;digestion;motility,"Two converging RCTs in distinct gut populations: Papada 2018 (n=68 IBD patients in remission, 6 months) — Pistacia lentiscus var. chia 2.8g/day suppressed rise in serum amino acids and inflammatory biomarkers (IL-6, faecal calprotectin, faecal lactoferrin) that typically precedes relapse; Kant 2024 (n=38 diabetic gastroparesis, 24 weeks) — mastic gum demonstrated non-inferiority to prokinetic drug levosulpiride with sustained GCSI score improvement. Mechanism: masticadienonic acid and alpha-pinene from mastic resin modulate intestinal motility, protect mucosa, and inhibit Helicobacter pylori; Chios mastic specifically (Pistacia lentiscus var. chia) studied — Cretan Pistacia lentiscus shares the triterpenic acid profile."
23,1,2,antioxidant;immune,"Mastic Papada 2018 RCT documented suppression of inflammatory biomarker rise (IL-6, faecal calprotectin, faecal lactoferrin) in IBD remission patients vs placebo over 6 months; Alexiou 2025 RCT (n=32 orthodontic patients, 14 days) demonstrated mastic toothpaste reduced gingival inflammation (GI from 1.8 to 1.0, p<0.001) and plaque (PI-M from 1.2 to 0.8, p<0.001) — local mucosal inflammation; mechanism: alpha-pinene and masticadienonic acid have documented antimicrobial activity vs S. mutans, P. gingivalis, and H. pylori."
24,7,2,fasting_glucose;insulin_sensitivity,"DB-RCT (Huseini 2013, n=54 T2DM on standard hypoglycaemic therapy, 2 months): 1200mg/day Capparis spinosa fruit extract significantly reduced fasting blood glucose (p=0.037) and HbA1c (p=0.043) vs placebo. A second RCT (Vahid 2019, n=30 poorly controlled T2DM, 3 months): C. spinosa oxymel prevented progression of hyperglycaemia (FBG and PPBG) vs placebo and simple oxymel arms. Mechanism: rutin and quercetin inhibit alpha-glucosidase, ACE, and aldose reductase; capers are one of the most quercetin-rich vegetable foods in the Mediterranean diet (170-330 mg/100g fresh weight)."
24,2,1,cholesterol,"Meta-analysis of 5 caper RCTs (Perna 2023, n=178): caper consumption significantly improved HDL cholesterol (+0.72 mg/dL); trends toward reduction in LDL, total cholesterol, and triglycerides did not reach significance; mechanism: quercetin-mediated HMG-CoA reductase inhibition and ACE inhibition; evidence_strength=1 reflecting modest effect size in available data and small total participant count."
24,5,2,liver;vitality,"Meta-analysis (Perna 2023, n=178 across 5 RCTs): caper consumption significantly reduced ALT (−12.29 U/L, 95% CI −24.47 to −0.11) — relevant to NAFLD and metabolic syndrome; body weight reduced by 1.00 kg (95% CI −1.44 to −0.56); trend toward AST reduction. Mechanism: caper polyphenols (quercetin, rutin, kaempferol) reduce hepatic oxidative stress and inflammation; supports the liver–lipid axis in metabolic syndrome."
25,2,3,cholesterol;circulation,"Meta-analysis of 26 RCTs (Guasch-Ferré 2018, n=1059): walnut consumption significantly reduced TC −6.99 mg/dL (95% CI −9.39 to −4.58); LDL −5.51 mg/dL; TG −4.69 mg/dL; apoB −3.74 mg/dL — without weight gain or blood pressure change. Effects more pronounced vs American/Western diet (TC −12.3 mg/dL). Malmir 2021 meta-analysis: FMD endothelial function +0.93%. PREDIMED trial used walnuts (30g/day) as one of two intervention arms reducing major CV events by 30%. Mechanism: alpha-linolenic acid (plant omega-3), gamma-tocopherol, and ellagic acid → urolithin pathway."
25,1,1,antioxidant,"Walnut polyphenols (ellagic acid, ellagitannins) are converted by gut bacteria to urolithins — secondary metabolites with documented anti-inflammatory activity and mitochondrial protective effects in human pharmacokinetic studies; alpha-linolenic acid (ALA) modulates eicosanoid synthesis toward anti-inflammatory series-3 prostaglandins; gamma-tocopherol traps reactive nitrogen species; mechanistic but not yet demonstrated as a primary endpoint in inflammatory biomarker meta-analyses."
25,4,2,cellular;neuroprotection;metabolic_longevity,"Walnuts were one of two intervention arms in the PREDIMED trial (Estruch 2013, n=7447) demonstrating 30% reduction in major cardiovascular events with Mediterranean diet plus nuts; the urolithin metabolites derived from walnut ellagitannins have been shown to induce mitophagy and improve muscle function in older adults (Andreux 2019); walnut melatonin and ALA support neuronal health; multiple prospective cohorts link nut consumption to lower all-cause mortality."
26,2,3,cholesterol;blood_pressure,"Two independent meta-analyses confirm: Lee-Bravatti 2019 (15 RCTs, n=534): TC −10.69 mg/dL (95% CI −16.75 to −4.63); LDL −5.83 mg/dL; apoB −6.67 mg/dL; body weight −1.39 kg; at >42.5g/day FBG and DBP also reduced. Musa-Veloso 2016 (18 datasets): TC −0.153 mmol/L (p<0.001); LDL −0.124 mmol/L (p=0.001); TG −0.067 mmol/L (p=0.042). Mechanism: oleic acid MUFA substitution, beta-sitosterol intestinal cholesterol absorption blockade, alpha-tocopherol LDL oxidation prevention, magnesium-supported endothelial function — almonds deliver the cardiovascular-protective fatty acid of olive oil in a fibre + protein matrix."
26,5,2,vitality,"Lee-Bravatti 2019 meta-analysis (15 RCTs, n=534): almond consumption significantly reduced body weight by 1.39 kg (95% CI −2.49 to −0.30) — surprising for a calorie-dense food but consistent with high fibre and protein increasing satiety and reducing total energy intake; magnesium (270 mg/100g) supports insulin signalling and energy metabolism via its role as cofactor in 300+ enzymes; alpha-tocopherol protects mitochondria from lipid peroxidation."
26,7,1,fasting_glucose,"Lee-Bravatti 2019 meta-analysis subgroup: at almond doses >42.5 g/day, fasting blood glucose significantly reduced; effect not present at lower doses; almond cardiovascular meta-analyses in T2DM populations specifically (Wang 2021) did not find significant glucose improvements — evidence_strength=1 reflecting dose-dependent effect only at higher intake levels."
