nutrition_id,food_id,nutrient,significance,health_implication,source
12,3,"Polyphenols (thymol, kaempferol, cichoric acid)",Functional content,"The primary source of thyme honey's biological activity — antimicrobial (disrupts bacterial membranes), anti-inflammatory (polyphenol NF-κB suppression), and antioxidant (DPPH IC50 ~15 mg/mL). Thyme honey has among the highest total phenolic content of any honey variety.",George et al. (2025) Biomolecules — total phenolic content of Greek thyme honey (193 mg GAE/100g); study_id=13 in DB (Nazzaro 2024)
13,3,Vitamin C (~13 mg/100g),Notable amount,Notably high for a honey; most honey varieties contain negligible vitamin C. Contributes to antioxidant capacity and immune support. Preserved only when consumed raw — heating destroys vitamin C.,Lafraxo et al. (2021) J Func Foods — vitamin C content measured in thyme honey fraction (study_id=12 in DB)
14,3,Natural sugars (fructose ~38g + glucose ~31g per 100g),Functional content,"Primary energy source. Higher fructose:glucose ratio than many honeys means slower crystallisation and a modestly lower glycaemic response than sucrose for the fructose component. Fructose is absorbed more slowly than glucose, blunting blood sugar spikes compared to refined sugar.",USDA FoodData Central FDC #169640 (Honey)
15,3,"Trace minerals (manganese, zinc, potassium, selenium)",Notable amount,Present in small but meaningful amounts. Manganese is a cofactor for superoxide dismutase (the body's primary antioxidant enzyme). Zinc supports immune function and wound healing. Selenium is a component of glutathione peroxidase — an antioxidant enzyme.,USDA FoodData Central FDC #169640 (Honey); mineral profile consistent across varietal honey literature
16,4,"Flavonoids (apigenin, luteolin ~10-50 mg per cup)",Functional content,Anti-inflammatory flavones that inhibit COX enzymes and reduce NF-κB pathway activation. Luteolin and apigenin are the primary compounds behind the anti-inflammatory and anxiolytic effects observed in clinical trials of mountain tea.,study_id=3 (Wightman 2018 DB) and study_id=4 (Papanikolaou 2024 DB); Tadić et al. (2008) Nat Prod Commun — flavonoid quantification in Sideritis syriaca
17,4,Phenylpropanoids (verbascoside/acteoside ~5-20 mg per cup),Functional content,"Phenylpropanoid glycosides with exceptionally strong NF-κB binding (Kd 0.01 μM for verbascoside). The key mechanistic driver of mountain tea's anti-inflammatory activity. Also inhibits monoamine reuptake, contributing to mood and cognition effects.",study_id=4 in DB (Papanikolaou 2024); Kırmızıbekmez et al. (2009) Nat Prod Commun — verbascoside/acteoside in Sideritis spp.
18,4,Iron (dried herb ~10 mg/100g dry weight; trace in infusion),Notable amount,"Mountain tea as a dried herb is iron-rich; the infusion contains smaller but meaningful amounts. Regular consumption across several cups contributes to daily iron intake, particularly valued in traditional Cretan culture for combating altitude fatigue.","USDA FoodData Central FDC #171918 (Tea, herbal, brewed — used as proxy; dried herb value from Sideritis spp. literature)"
19,4,Potassium (dried herb ~1000 mg/100g dry weight),Notable amount,"Electrolyte essential for blood pressure regulation, muscle contraction, and heart rhythm. Traditional consumption of mountain tea as a daily warming drink contributes meaningfully to potassium intake.","USDA FoodData Central FDC #171918 (Tea, herbal, brewed — used as proxy; dried herb value from Sideritis spp. literature)"
20,5,Calcium (~700-800 mg/100g),Exceptional source,"Graviera is one of the highest-calcium foods available — a 30g serving provides ~210-240 mg calcium, approximately 20-25% of daily requirements. Calcium is essential for bone density (preventing osteoporosis), muscle contraction, nerve transmission, and blood clotting. The vitamin K2 in Graviera works synergistically to direct this calcium into bones rather than arteries.",USDA FoodData Central FDC #172179 (Gruyere cheese); extrapolated to Graviera as comparable aged sheep/goat hard cheese. Graviera PDO composition data from EFET (Greek Food Authority)
21,5,Protein (~25g/100g),Excellent source,"Complete protein containing all essential amino acids. Supports muscle maintenance and repair, immune antibody synthesis, enzyme production, and provides satiety. Particularly valuable for older adults where muscle mass preservation is critical.",USDA FoodData Central FDC #172179 (Gruyere cheese); extrapolated to Graviera as comparable aged sheep/goat hard cheese
22,5,Vitamin B12 (~1.5 μg/100g),Excellent source,"Essential for neurological function, red blood cell formation, and DNA synthesis. Deficiency causes irreversible nerve damage. Animal dairy is one of the few reliable dietary sources; a 50g serving of Graviera provides ~75% of daily B12 requirements.",USDA FoodData Central FDC #172179 (Gruyere cheese); extrapolated to Graviera as comparable aged sheep/goat hard cheese
23,5,"Vitamin K2 (menaquinone, from fermentation)",Functional content,Produced by bacteria during cheese aging; activates matrix Gla-protein (MGP) which prevents calcium from depositing in artery walls — this mechanism may explain why cheese consumption is inversely associated with cardiovascular disease despite its saturated fat content (the calcium paradox). Directs calcium into bones where it belongs.,"Schurgers & Vermeer (2000) Haemostasis — MK-8 and MK-9 content of fermented cheeses; study_id=8,10 in DB (Zhang 2023 umbrella review; Zoumpopoulou 2018)"
24,5,Phosphorus (~500 mg/100g),Excellent source,Works with calcium in bone and teeth mineralisation — approximately 85% of the body's phosphorus is in bones and teeth. Also essential for ATP (cellular energy currency) synthesis and cell membrane structure.,USDA FoodData Central FDC #172179 (Gruyere cheese); extrapolated to Graviera as comparable aged sheep/goat hard cheese
25,5,Zinc (~3 mg/100g),Good source,"Supports immune function, wound healing, protein synthesis, taste and smell perception, and DNA repair. A 50g serving of Graviera provides ~15% of daily zinc requirements.",USDA FoodData Central FDC #172179 (Gruyere cheese); extrapolated to Graviera as comparable aged sheep/goat hard cheese
26,5,Conjugated linoleic acid / CLA (higher in grass-fed Cretan sheep dairy),Functional content,"Natural trans-fat produced in the rumen of grass-fed ruminants; absent or low in grain-fed dairy. Anti-inflammatory, may reduce body fat accumulation and support immune function. Cretan sheep and goat raised on aromatic mountain pasture produce milk with notably higher CLA than conventionally farmed animals.",Nudda et al. (2003) J Dairy Sci — CLA content of sheep milk and cheese; Tsiplakou et al. (2006) J Dairy Res — CLA in Greek sheep/goat milk by feeding system; extrapolated to Graviera
27,6,Alpha-linolenic acid / ALA omega-3 (~300-400 mg/100g),Exceptional source,"Purslane is the richest known leafy vegetable source of ALA — far exceeding spinach or kale. ALA is converted to EPA and DHA (marine omega-3s) in the body; reduces cardiovascular disease risk, lowers triglycerides, reduces systemic inflammation, and supports cell membrane fluidity. The omega-3 content partly explains the traditional Cretan diet's cardiovascular protection even without high fish consumption.",Simopoulos & Salem (1986) NEJM — original identification of purslane as richest plant ALA source; USDA FoodData Central FDC #169226; study_id=6 in DB (Guo 2024 meta-analysis)
28,6,Vitamin C (~21 mg/100g),Good source,"Immune function, collagen synthesis for skin and connective tissue, antioxidant activity, and enhancement of iron absorption from plant sources. A 100g serving provides ~23% of daily vitamin C requirements.","USDA FoodData Central FDC #169226 (Purslane, raw)"
29,6,Beta-carotene (provitamin A),Good source,"Converted to vitamin A — essential for eye health, immune function, skin integrity, and gene expression. Works as a fat-soluble antioxidant. Absorption is enhanced when eaten with olive oil, as in traditional Cretan salads.","USDA FoodData Central FDC #169226 (Purslane, raw)"
30,6,Vitamin E (alpha-tocopherol),Good source,Fat-soluble antioxidant protecting cell membranes from oxidative damage. Works with vitamin C and other antioxidants in a synergistic network. Particularly important for protecting the omega-3 fatty acids in purslane from oxidation.,"USDA FoodData Central FDC #169226 (Purslane, raw)"
31,6,Magnesium (~68 mg/100g),Good source,"Essential for over 300 enzyme reactions; supports muscle and nerve function, blood pressure regulation, blood glucose control, and protein synthesis. A 100g serving provides ~17% of daily requirements. Magnesium deficiency is common in Western diets.","USDA FoodData Central FDC #169226 (Purslane, raw)"
32,6,Potassium (~494 mg/100g),Good source,"Regulates blood pressure by counterbalancing sodium; supports heart rhythm, muscle contraction, and fluid balance. A 100g serving provides ~10% of daily requirements. High-potassium diets are consistently associated with lower cardiovascular disease risk.","USDA FoodData Central FDC #169226 (Purslane, raw)"
33,6,Iron (~2 mg/100g),Notable amount,Contributes to haemoglobin synthesis and oxygen transport. Plant-source (non-haem) iron absorption is enhanced by the vitamin C in purslane and by eating with acidic dressings (lemon juice). The combination of iron + vitamin C in purslane makes it a self-enhancing source of this nutrient.,"USDA FoodData Central FDC #169226 (Purslane, raw)"
34,6,Melatonin (notably high for a plant food),Functional content,"Purslane is one of the highest plant sources of melatonin. Beyond its role in regulating circadian rhythms and sleep quality, melatonin acts as a potent antioxidant and anti-inflammatory compound in peripheral tissues. May contribute to purslane's anti-inflammatory profile alongside ALA and polyphenols.",Tan et al. (2012) J Exp Bot — melatonin content across plant foods; purslane identified as exceptional source among leafy vegetables

35,7,"Essential oils (carvacrol ~52% of EO; gamma-terpinene; p-cymene)","Functional content","Primary bioactive fraction of dittany; carvacrol responsible for strong antimicrobial activity against Gram-positive and Gram-negative pathogens; also antioxidant and enzyme-inhibitory. Concentration in herbal infusion is lower than essential oil but retains pharmacological relevance at traditional consumption levels.","Mitropoulou et al. (2015) DOI 10.3402/mehd.v26.26543; Amato et al. (2025) DOI 10.1038/s41598-025-19920-9"
36,7,"Polyphenols (rosmarinic acid; apigenin; kaempferol; quercetin; novel luteolin glycosides)","Functional content","Complex polyphenol profile including novel flavone glycosides unique to dittany; contributes antioxidant capacity, anti-inflammatory activity (NF-kB inhibition), and spasmolytic gut effects. Rosmarinic acid is the dominant polar phenolic.","Chatzopoulou et al. (2010) DOI 10.1021/jf904596m; Paloukopoulou et al. (2026) DOI 10.1016/j.foodchem.2026.148243"
